filepath,dataset_source,label,sf_fail
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part00/ASVspoof2021_DF_eval/flac/DF_E_2011722.flac,dataset_1_asvspoof2021_DF,real,False
/home/general/Desktop/deepfake_project/data/dataset_2/real_samples/237_134493_000017_000012.wav,dataset_2_seedtts_style,real,False
/home/general/Desktop/deepfake_project/data/dataset_3/Mlaad_v5/mlaad_v5/fake/en/MeloTTS/wives_and_daughters_55_f000133.wav,dataset_3_mlaad_v5,fake,False
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part02/ASVspoof2021_DF_eval/flac/DF_E_4060216.flac,dataset_1_asvspoof2021_DF,real,True
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part02/ASVspoof2021_DF_eval/flac/DF_E_3731649.flac,dataset_1_asvspoof2021_DF,real,True
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part01/ASVspoof2021_DF_eval/flac/DF_E_3206020.flac,dataset_1_asvspoof2021_DF,real,True
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part01/ASVspoof2021_DF_eval/flac/DF_E_3202290.flac,dataset_1_asvspoof2021_DF,real,True
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part02/ASVspoof2021_DF_eval/flac/DF_E_4134938.flac,dataset_1_asvspoof2021_DF,real,False
/home/general/Desktop/deepfake_project/data/dataset_2/xTTS/4214_28.wav,dataset_2_seedtts_style,fake,False
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part00/ASVspoof2021_DF_eval/flac/DF_E_2423781.flac,dataset_1_asvspoof2021_DF,real,False
/home/general/Desktop/deepfake_project/data/dataset_1/ASVspoof2021_DF_eval_part00/ASVspoof2021_DF_eval/flac/DF_E_2088090.flac,dataset_1_asvspoof2021_DF,real,True
